代码,名称,收盘价,股息率,120日线,250日线,日中下轨,周中下轨,12日RSI,6周RSI,日MACD,周MACD,评分,错误
601988.SH,中国银行,5.760,3.80%,✘ (5.60),✘ (5.51),✔ (5.79-5.63),✘ (5.54-5.17),✘ (52.03 中性),✘ (62.55 中性),✘ (-0.023 寻底),✘ (0.071 多头),20,
513530.SH,港股红利ETF,1.668,7.71%,✘ (1.64),✘ (1.59),✘ (1.66-1.64),✘ (1.63-1.54),✘ (52.09 中性),✘ (58.38 中性),✘ (0.001 多头),✘ (-0.001 寻底),5,
159941.SZ,纳指ETF,1.450,N/A,✘ (1.39),✘ (1.31),✘ (1.35-1.23),✘ (1.38-1.27),✘ (74.70 超买),✘ (76.91 超买),✘ (0.020 多头),✘ (0.008 多头),10,
600900.SH,长江电力,26.660,3.55%,✔ (27.12),✔ (27.82),✔ (26.71-26.19),✔ (26.77-25.59),✘ (46.88 中性),✘ (47.44 中性),✘ (0.047 多头),✘ (0.074 多头),60,
601066.SH,中信建投,21.430,1.50%,✔ (24.31),✔ (24.61),✔ (21.62-21.08),✔ (23.83-19.86),✘ (37.81 中性),✔ (24.90 超卖),✘ (0.098 多头),✔ (-0.527 绿色柱缩短),80,
600886.SH,国投电力,13.400,3.43%,✔ (13.69),✔ (14.10),✔ (13.59-12.90),✔ (13.52-12.38),✘ (42.83 中性),✘ (43.29 中性),✔ (-0.014 绿色柱缩短),✘ (-0.002 寻底),60,
600750.SH,华润江中,24.920,4.39%,✘ (24.22),✘ (22.86),✔ (26.68-25.29),✔ (25.00-22.14),✘ (36.57 中性),✘ (42.30 中性),✘ (-0.209 寻底),✘ (0.075 多头),35,
600795.SH,国电电力,4.890,4.35%,✔ (5.14),✘ (4.88),✘ (4.85-4.73),✔ (5.01-4.23),✘ (50.38 中性),✘ (48.07 中性),✘ (0.025 多头),✔ (-0.043 绿色柱缩短),40,
000651.SZ,格力电器,37.510,8.01%,✔ (38.73),✔ (40.49),✘ (37.35-36.67),✔ (38.43-36.41),✘ (52.70 中性),✘ (43.63 中性),✔✔ (0.053 水下金叉),✔ (-0.086 绿色柱缩短),60,
600941.SH,中国移动,95.500,5.11%,✔ (99.31),✔ (103.95),✘ (94.15-92.03),✔ (96.66-89.99),✘ (56.91 中性),✘ (51.18 中性),✘ (0.612 多头),✘ (0.434 多头),45,
601919.SH,中远海控,14.200,10.78%,✔ (15.03),✔ (14.73),✔ (14.91-14.23),✔ (14.94-13.92),✔ (25.60 超卖),✔ (27.78 超卖),✘ (-0.162 寻底),✘ (-0.230 寻底),80,
000858.SZ,五粮液,100.200,5.56%,✔ (107.59),✔ (114.36),✔ (102.59-99.94),✔ (104.60-98.74),✘ (37.20 中性),✔ (23.11 超卖),✘ (-0.434 寻底),✘ (0.233 多头),70,
600887.SH,伊利股份,25.250,6.64%,✔ (27.17),✔ (27.35),✔ (25.88-24.97),✔ (26.82-24.46),✔ (30.21 超卖),✔ (23.74 超卖),✔ (-0.122 绿色柱缩短),✔ (-0.351 绿色柱缩短),100,
601985.SH,中国核电,9.020,2.06%,✘ (8.83),✘ (8.98),✘ (8.86-8.55),✘ (8.82-8.41),✘ (57.93 中性),✘ (57.22 中性),✘ (0.063 多头),✘ (0.068 多头),10,
003816.SZ,中国广核,4.620,2.15%,✘ (4.06),✘ (3.86),✘ (4.53-4.38),✘ (4.12-3.48),✘ (63.85 中性),✘ (67.49 中性),✘ (0.003 多头),✘ (0.110 多头),10,
601318.SH,中国平安,57.550,4.41%,✔ (62.68),✔ (58.38),✔ (57.96-56.32),✔ (63.17-54.04),✘ (42.14 中性),✔ (30.54 超卖),✘ (0.288 多头),✔ (-2.198 绿色柱缩短),80,
000333.SZ,美的集团,79.500,5.18%,✘ (77.92),✘ (74.98),✘ (77.43-73.65),✘ (77.92-74.79),✘ (63.02 中性),✘ (66.83 中性),✘ (0.669 多头),✘ (-0.016 寻底),5,
600036.SH,招商银行,,,,,,,,,,,0,K线查询限流 (10/min)，请 1752ms 后重试
000538.SZ,云南白药,54.290,2.13%,✔ (56.14),✔ (56.05),✔ (55.21-53.82),✔ (55.98-54.20),✘ (37.93 中性),✘ (36.49 中性),✘ (-0.172 寻底),✘ (-0.471 寻底),50,
